,STATE,TYPE OF PRODUCER,GENERATION(Mwh)
99,ME,"Combined Heat and Power, Industrial Power",1791822.0
100,ME,"Electric Generators, Electric Utilities",2757.0
101,ME,"Electric Generators, Independent Power Producers",8676883.0
102,MI,"Combined Heat and Power, Commercial Power",666788.0
103,MI,"Combined Heat and Power, Electric Power",11961234.0
104,MI,"Combined Heat and Power, Industrial Power",1309135.0
105,MI,"Electric Generators, Electric Utilities",82022523.0
106,MI,"Electric Generators, Independent Power Producers",20085706.0
107,MN,"Combined Heat and Power, Commercial Power",294467.0
108,MN,"Combined Heat and Power, Electric Power",1060443.0
109,MN,"Combined Heat and Power, Industrial Power",1009953.0
110,MN,"Electric Generators, Electric Utilities",42688351.0
111,MN,"Electric Generators, Independent Power Producers",14574805.0
112,MO,"Combined Heat and Power, Commercial Power",194533.0
113,MO,"Combined Heat and Power, Electric Power",35308.0
114,MO,"Combined Heat and Power, Industrial Power",43681.0
115,MO,"Electric Generators, Electric Utilities",70672592.0
116,MO,"Electric Generators, Independent Power Producers",6869866.0
117,MS,"Combined Heat and Power, Commercial Power",0.0
118,MS,"Combined Heat and Power, Industrial Power",1973656.0
119,MS,"Electric Generators, Electric Utilities",63535757.0
120,MS,"Electric Generators, Independent Power Producers",3203912.0
121,MT,"Combined Heat and Power, Electric Power",454274.0
122,MT,"Combined Heat and Power, Industrial Power",35041.0
123,MT,"Electric Generators, Electric Utilities",10341964.0
124,MT,"Electric Generators, Independent Power Producers",13635359.0
125,NC,"Combined Heat and Power, Commercial Power",272099.0
126,NC,"Combined Heat and Power, Electric Power",214176.0
127,NC,"Combined Heat and Power, Industrial Power",1785586.0
128,NC,"Electric Generators, Electric Utilities",110756159.0
129,NC,"Electric Generators, Independent Power Producers",18234662.0
130,ND,"Combined Heat and Power, Commercial Power",1062.0
131,ND,"Combined Heat and Power, Industrial Power",151658.0
132,ND,"Electric Generators, Electric Utilities",33414347.0
133,ND,"Electric Generators, Independent Power Producers",9138170.0
134,NE,"Combined Heat and Power, Commercial Power",17924.0
135,NE,"Combined Heat and Power, Industrial Power",344119.0
136,NE,"Electric Generators, Electric Utilities",28818114.0
137,NE,"Electric Generators, Independent Power Producers",9464488.0
138,NH,"Combined Heat and Power, Commercial Power",64791.0
139,NH,"Combined Heat and Power, Industrial Power",29005.0
140,NH,"Electric Generators, Electric Utilities",660628.0
141,NH,"Electric Generators, Independent Power Producers",16680566.0
142,NJ,"Combined Heat and Power, Commercial Power",643265.0
143,NJ,"Combined Heat and Power, Electric Power",6911564.0
144,NJ,"Combined Heat and Power, Industrial Power",471205.0
145,NJ,"Electric Generators, Electric Utilities",62574.0
146,NJ,"Electric Generators, Independent Power Producers",53297915.0
147,NM,"Combined Heat and Power, Commercial Power",121998.0
148,NM,"Combined Heat and Power, Electric Power",20252.0
149,NM,"Combined Heat and Power, Industrial Power",47907.0
150,NM,"Electric Generators, Electric Utilities",21893409.0
151,NM,"Electric Generators, Independent Power Producers",13187732.0
152,NV,"Combined Heat and Power, Commercial Power",627385.0
153,NV,"Combined Heat and Power, Electric Power",2183913.0
154,NV,"Combined Heat and Power, Industrial Power",337614.0
155,NV,"Electric Generators, Electric Utilities",27261574.0
156,NV,"Electric Generators, Independent Power Producers",11469702.0
157,NY,"Combined Heat and Power, Commercial Power",1283599.0
158,NY,"Combined Heat and Power, Electric Power",11479531.0
159,NY,"Combined Heat and Power, Industrial Power",823690.0
160,NY,"Electric Generators, Electric Utilities",37266097.0
161,NY,"Electric Generators, Independent Power Producers",74373104.0
162,OH,"Combined Heat and Power, Commercial Power",253877.0
163,OH,"Combined Heat and Power, Electric Power",1593691.0
164,OH,"Combined Heat and Power, Industrial Power",746446.0
165,OH,"Electric Generators, Electric Utilities",12554826.0
166,OH,"Electric Generators, Independent Power Producers",108186770.0
167,OK,"Combined Heat and Power, Commercial Power",0.0
168,OK,"Combined Heat and Power, Industrial Power",839102.0
169,OK,"Electric Generators, Electric Utilities",36250896.0
170,OK,"Electric Generators, Independent Power Producers",43474125.0
171,OR,"Combined Heat and Power, Commercial Power",81271.0
172,OR,"Combined Heat and Power, Electric Power",5909188.0
173,OR,"Combined Heat and Power, Industrial Power",631596.0
174,OR,"Electric Generators, Electric Utilities",39845286.0
175,OR,"Electric Generators, Independent Power Producers",14614496.0
176,PA,"Combined Heat and Power, Commercial Power",384085.0
177,PA,"Combined Heat and Power, Electric Power",7924378.0
178,PA,"Combined Heat and Power, Industrial Power",2728318.0
179,PA,"Electric Generators, Electric Utilities",108593.0
180,PA,"Electric Generators, Independent Power Producers",230502987.0
181,RI,"Combined Heat and Power, Commercial Power",57447.0
182,RI,"Combined Heat and Power, Industrial Power",137274.0
183,RI,"Electric Generators, Electric Utilities",2.0
184,RI,"Electric Generators, Independent Power Producers",7840292.0
185,SC,"Combined Heat and Power, Commercial Power",2208.0
186,SC,"Combined Heat and Power, Electric Power",681914.0
187,SC,"Combined Heat and Power, Industrial Power",1804883.0
188,SC,"Electric Generators, Electric Utilities",94331674.0
189,SC,"Electric Generators, Independent Power Producers",3103724.0
190,SD,"Combined Heat and Power, Commercial Power",12.0
191,SD,"Combined Heat and Power, Industrial Power",28443.0
192,SD,"Electric Generators, Electric Utilities",9905268.0
193,SD,"Electric Generators, Independent Power Producers",7900910.0
194,TN,"Combined Heat and Power, Commercial Power",205812.0
195,TN,"Combined Heat and Power, Industrial Power",2204479.0
196,TN,"Electric Generators, Electric Utilities",78603226.0
197,TN,"Electric Generators, Independent Power Producers",465366.0
198,TX,"Combined Heat and Power, Commercial Power",612266.0
199,TX,"Combined Heat and Power, Electric Power",41947893.0
200,TX,"Combined Heat and Power, Industrial Power",41286435.0
201,TX,"Electric Generators, Electric Utilities",82082918.0
202,TX,"Electric Generators, Independent Power Producers",317632263.0
203,US-TOTAL,"Combined Heat and Power, Commercial Power",13147622.0
204,US-TOTAL,"Combined Heat and Power, Electric Power",132382347.0
205,US-TOTAL,"Combined Heat and Power, Industrial Power",139607169.0
206,US-TOTAL,"Electric Generators, Electric Utilities",2216234058.0
207,US-TOTAL,"Electric Generators, Independent Power Producers",1614168959.0
208,UT,"Combined Heat and Power, Commercial Power",126451.0
209,UT,"Combined Heat and Power, Electric Power",53816.0
210,UT,"Combined Heat and Power, Industrial Power",416951.0
211,UT,"Electric Generators, Electric Utilities",37112552.0
212,UT,"Electric Generators, Independent Power Producers",4947012.0
213,VA,"Combined Heat and Power, Commercial Power",331937.0
214,VA,"Combined Heat and Power, Electric Power",1012106.0
215,VA,"Combined Heat and Power, Industrial Power",2333896.0
216,VA,"Electric Generators, Electric Utilities",73103689.0
217,VA,"Electric Generators, Independent Power Producers",17527389.0
218,VT,"Combined Heat and Power, Commercial Power",3141.0
219,VT,"Electric Generators, Electric Utilities",915002.0
220,VT,"Electric Generators, Independent Power Producers",1229589.0
221,WA,"Combined Heat and Power, Commercial Power",28075.0
222,WA,"Combined Heat and Power, Industrial Power",2101579.0
223,WA,"Electric Generators, Electric Utilities",94110726.0
224,WA,"Electric Generators, Independent Power Producers",12882338.0
225,WI,"Combined Heat and Power, Commercial Power",139559.0
226,WI,"Combined Heat and Power, Electric Power",943291.0
227,WI,"Combined Heat and Power, Industrial Power",1451526.0
228,WI,"Electric Generators, Electric Utilities",51160713.0
229,WI,"Electric Generators, Independent Power Producers",11783588.0
230,WV,"Combined Heat and Power, Industrial Power",1286665.0
231,WV,"Electric Generators, Electric Utilities",47093799.0
232,WV,"Electric Generators, Independent Power Producers",17250096.0
233,WY,"Combined Heat and Power, Industrial Power",2234720.0
234,WY,"Electric Generators, Electric Utilities",37365468.0
235,WY,"Electric Generators, Independent Power Producers",4050482.0
