Date,NDX_price,AMZN_price,GOOGL_price,META_price,AAPL_price
05/04/2022,13535.71,125.93,122.26,223.41,166.02
05/03/2022,13089.9,124.25,117.33,212.03,159.48
05/02/2022,13075.85,124.5,116.58,211.13,157.96
04/29/2022,12854.8,124.28,114.11,200.47,157.65
04/28/2022,13456.06,144.6,118.52,205.73,163.64
04/27/2022,13003.36,138.17,114.29,174.95,156.57
04/26/2022,13009.71,139.39,118.65,180.95,156.8
04/25/2022,13533.22,146.07,123.07,186.99,162.88
04/22/2022,13356.87,144.35,119.64,184.11,161.79
04/21/2022,13720.45,148.3,124.81,188.07,166.42
04/20/2022,13998.53,154.0,128.04,200.42,167.23
04/19/2022,14210.26,158.12,130.01,217.31,167.4
04/18/2022,13910.76,152.78,127.68,210.77,165.07
04/14/2022,13893.22,151.71,126.73,210.18,165.29
04/13/2022,14217.29,155.54,129.89,214.99,170.4
04/12/2022,13940.24,150.79,127.71,214.14,167.66
04/11/2022,13990.2,151.12,128.82,216.46,165.75
04/08/2022,14327.26,154.46,133.29,222.33,170.09
04/07/2022,14531.81,157.78,135.89,222.95,172.14
04/06/2022,14498.89,158.76,136.55,223.3,171.83
04/05/2022,14820.64,164.06,140.59,231.84,175.06
04/04/2022,15159.58,168.35,142.97,233.89,178.44
04/01/2022,14861.21,163.56,140.15,224.85,174.31
03/31/2022,14838.49,163.0,139.07,222.36,174.61
03/30/2022,15071.55,166.3,141.94,227.85,177.77
03/29/2022,15239.32,169.31,142.51,229.86,178.96
03/28/2022,14987.4,168.99,141.46,223.59,175.6
03/25/2022,14754.31,164.77,141.67,221.82,174.72
03/24/2022,14765.69,163.65,141.57,219.57,174.07
03/23/2022,14447.55,163.41,138.28,213.46,170.21
03/22/2022,14654.33,164.89,139.87,216.65,168.82
03/21/2022,14376.09,161.49,136.1,211.49,165.38
03/18/2022,14420.08,161.25,136.13,216.49,163.98
03/17/2022,14118.6,157.24,133.84,207.84,160.62
03/16/2022,13956.78,153.1,133.28,203.63,159.59
03/15/2022,13458.56,147.37,129.2,192.03,155.09
03/14/2022,13046.64,141.85,125.95,186.63,150.62
03/11/2022,13301.83,145.52,129.87,187.61,154.73
03/10/2022,13591.0,146.82,132.43,195.21,158.52
03/09/2022,13742.2,139.28,133.42,198.5,162.95
03/08/2022,13267.6,136.01,127.1,190.29,157.44
03/07/2022,13319.38,137.45,126.38,187.47,159.3
03/04/2022,13837.83,145.64,131.91,200.06,163.17
03/03/2022,14035.21,147.9,133.9,202.97,166.23
03/02/2022,14243.69,152.05,134.57,208.11,166.56
03/01/2022,14005.99,151.14,134.06,203.49,163.2
02/28/2022,14237.81,153.56,135.06,211.03,165.12
02/25/2022,14189.16,153.79,134.46,210.48,164.85
02/24/2022,13974.67,151.36,132.69,207.6,162.74
02/23/2022,13509.43,144.83,127.59,198.45,160.07
02/22/2022,13870.53,150.2,129.81,202.08,164.32
02/18/2022,14009.54,152.6,130.4,206.16,167.3
02/17/2022,14171.74,154.65,132.54,207.71,168.88
02/16/2022,14603.64,158.1,137.74,216.54,172.55
02/15/2022,14620.82,156.51,136.61,221.0,172.79
02/14/2022,14268.59,155.17,135.53,217.7,168.88
02/11/2022,14253.84,153.29,134.28,219.55,168.64
02/10/2022,14705.64,159.0,138.62,228.07,172.12
02/09/2022,15056.96,161.19,141.59,232.0,176.28
02/08/2022,14747.03,161.41,139.4,220.18,174.83
02/07/2022,14571.25,157.94,139.2,224.91,171.66
02/04/2022,14694.35,157.64,143.29,237.09,172.39
02/03/2022,14501.11,138.85,143.09,237.76,172.9
02/02/2022,15139.74,150.61,148.0,323.0,175.84
02/01/2022,15019.68,151.19,137.64,319.0,174.61
01/31/2022,14930.05,149.57,135.3,313.26,174.78
01/28/2022,14454.61,143.98,133.35,301.71,170.33
01/27/2022,14003.11,139.64,129.0,294.64,159.22
01/26/2022,14172.76,138.87,129.23,294.63,159.69
01/25/2022,14149.12,139.99,126.94,300.15,159.78
01/24/2022,14509.58,144.54,130.8,308.71,161.62
01/21/2022,14438.4,142.64,130.35,303.17,162.41
01/20/2022,14846.46,151.67,133.31,316.56,164.51
01/19/2022,15047.84,156.3,135.12,319.59,166.23
01/18/2022,15210.76,158.92,136.0,318.15,169.8
01/14/2022,15611.59,162.14,139.48,331.9,173.07
01/13/2022,15495.62,161.21,138.59,326.48,172.19
01/12/2022,15905.1,165.21,141.43,333.26,175.53
01/11/2022,15844.12,165.36,139.74,334.37,175.08
01/10/2022,15614.43,161.49,138.67,328.07,172.19
01/07/2022,15592.19,162.55,137.02,331.79,172.17
01/06/2022,15765.36,163.25,137.75,332.46,172.0
01/05/2022,15771.77,164.36,137.78,324.17,174.92
01/04/2022,16279.73,167.52,144.4,336.53,179.7
01/03/2022,16501.77,170.4,144.99,338.54,182.01
